waveform;Bridge;FTC1;FTC2;Bridge (Filtered);Resistance_0;Resistance_1
t0;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:57,367517;29/11/2021  15:47:57,367517
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);Resistance_0;Resistance_1
29/11/2021  15:47:57,232556;9,402644E-1;1,162226E-1;1,145722E-1;9,401283E-1;;
29/11/2021  15:47:57,232656;9,400350E-1;1,174969E-1;1,133085E-1;9,401399E-1;;
29/11/2021  15:47:57,232756;9,405744E-1;1,155854E-1;1,120448E-1;9,401514E-1;;
29/11/2021  15:47:57,232856;9,400797E-1;1,448948E-1;1,436380E-1;9,401628E-1;;
29/11/2021  15:47:57,232956;9,402764E-1;1,318330E-1;1,366875E-1;9,401741E-1;;
29/11/2021  15:47:57,233056;9,398233E-1;1,337445E-1;1,347919E-1;9,401852E-1;;
29/11/2021  15:47:57,233156;9,404045E-1;1,589123E-1;1,606983E-1;9,401960E-1;;
29/11/2021  15:47:57,233256;9,405744E-1;1,334259E-1;1,262617E-1;9,402065E-1;;
29/11/2021  15:47:57,233356;9,406757E-1;1,197269E-1;1,164678E-1;9,402167E-1;;
29/11/2021  15:47:57,233456;9,400230E-1;1,216384E-1;1,208909E-1;9,402266E-1;;
29/11/2021  15:47:57,233556;9,402585E-1;1,210013E-1;1,189953E-1;9,402363E-1;;
29/11/2021  15:47:57,233656;9,400439E-1;1,726112E-1;1,588027E-1;9,402455E-1;;
29/11/2021  15:47:57,233756;9,403091E-1;3,876527E-1;3,316175E-1;9,402545E-1;;
29/11/2021  15:47:57,233856;9,401005E-1;2,340972E-1;2,355742E-1;9,402630E-1;;
29/11/2021  15:47:57,233956;9,403449E-1;2,239026E-1;2,308352E-1;9,402710E-1;;
29/11/2021  15:47:57,234056;9,402704E-1;1,649653E-1;1,764949E-1;9,402786E-1;;
29/11/2021  15:47:57,234156;9,398979E-1;1,362931E-1;1,556434E-1;9,402857E-1;;
29/11/2021  15:47:57,234256;9,405088E-1;1,394789E-1;1,603824E-1;9,402923E-1;;
29/11/2021  15:47:57,234356;9,406906E-1;7,225852E-2;1,310007E-1;9,402985E-1;;
29/11/2021  15:47:57,234456;9,403270E-1;-2,522696E-2;6,465498E-2;9,403042E-1;;
29/11/2021  15:47:57,234556;9,399843E-1;1,251428E-1;1,249980E-1;9,403095E-1;;
