waveform	Bridge	FTC1	FTC2	Bridge (Filtered)	Resistance_0	Resistance_1
t0	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,569533	29/11/2021  15:32:51,569533
delta t	0,000100	0,000100	0,000100	0,000100	0,010000	0,010000

time	Bridge	FTC1	FTC2	Bridge (Filtered)	Resistance_0	Resistance_1
29/11/2021  15:32:51,041977	9,403687E-1	1,044459E+1	1,670170E-1	9,503643E-1	1,075966E+2	1,079487E+2
29/11/2021  15:32:51,042077	9,401303E-1	1,044459E+1	7,981972E-2	9,483193E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042177	9,403002E-1	1,044459E+1	1,234183E-1	9,463640E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042277	9,399277E-1	1,044459E+1	1,796542E-1	9,445005E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042377	9,397071E-1	1,044459E+1	1,708081E-1	9,427306E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042477	9,399336E-1	1,044459E+1	1,543797E-1	9,410555E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042577	9,399813E-1	1,044459E+1	1,509044E-1	9,394759E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042677	9,401363E-1	1,044459E+1	1,464814E-1	9,379922E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042777	9,398442E-1	1,044459E+1	1,524841E-1	9,366044E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042877	9,403568E-1	1,044459E+1	1,689125E-1	9,353121E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,042977	9,405058E-1	1,044459E+1	6,523495E-3	9,341146E-1	1,075967E+2	1,079478E+2
29/11/2021  15:32:51,043077	9,405923E-1	1,044459E+1	4,159195E-2	9,330109E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043177	9,401273E-1	1,044459E+1	6,433905E-2	9,319997E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043277	9,402913E-1	1,044459E+1	8,361090E-2	9,310794E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043377	9,401601E-1	1,044459E+1	9,277293E-2	9,302482E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043477	9,397101E-1	1,044459E+1	1,294210E-1	9,295039E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043577	9,399902E-1	1,044459E+1	1,202590E-1	9,288441E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043677	9,400051E-1	1,044459E+1	9,719598E-2	9,282663E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043777	9,394806E-1	1,044459E+1	9,245700E-2	9,277676E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043877	9,394478E-1	1,044459E+1	1,054102E-1	9,273452E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,043977	9,396445E-1	1,044459E+1	5,865227E-2	9,269961E-1	1,075957E+2	1,079491E+2
29/11/2021  15:32:51,044077	9,398800E-1	1,044459E+1	1,344760E-1	9,267169E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044177	9,399694E-1	1,044459E+1	1,278414E-1	9,265046E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044277	9,404850E-1	1,044459E+1	5,359736E-2	9,263560E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044377	9,397995E-1	1,044459E+1	4,538313E-2	9,262677E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044477	9,399396E-1	1,044459E+1	7,128955E-2	9,262366E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044577	9,401035E-1	1,044459E+1	1,862888E-1	9,262593E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044677	9,398770E-1	1,044459E+1	1,069899E-1	9,263326E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044777	9,407741E-1	1,044459E+1	7,192142E-2	9,264530E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044877	9,403181E-1	1,044459E+1	6,497092E-2	9,266175E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,044977	9,402138E-1	1,044459E+1	4,949025E-2	9,268227E-1	1,075966E+2	1,079489E+2
29/11/2021  15:32:51,045077	9,396684E-1	1,044459E+1	6,433905E-2	9,270656E-1	1,075951E+2	1,079479E+2
29/11/2021  15:32:51,045177	9,395253E-1	1,044459E+1	7,887192E-2	9,273428E-1	1,075951E+2	1,079479E+2
29/11/2021  15:32:51,045277	9,397369E-1	1,044459E+1	8,992954E-2	9,276513E-1	1,075951E+2	1,079479E+2
29/11/2021  15:32:51,045377	9,397816E-1	1,044459E+1	6,876210E-2	9,279878E-1	1,075951E+2	1,079479E+2
29/11/2021  15:32:51,045477	9,402793E-1	1,044459E+1	8,013565E-2	9,283493E-1	1,075951E+2	1,079479E+2
