waveform;Bridge;Resistance_0;Resistance_1
t0;29/11/2021  17:31:09,391641;29/11/2021  17:31:09,901058;29/11/2021  17:31:09,901058
delta t;0,000500;0,005000;0,005000

time;Bridge;Resistance_0;Resistance_1
29/11/2021  17:31:09,750141;9,395700E-4;;
29/11/2021  17:31:09,750641;9,391528E-4;;
29/11/2021  17:31:09,751141;9,389650E-4;;
29/11/2021  17:31:09,751641;9,392601E-4;;
29/11/2021  17:31:09,752141;9,401124E-4;;
29/11/2021  17:31:09,752641;9,396714E-4;;
29/11/2021  17:31:09,753141;9,389144E-4;;
29/11/2021  17:31:09,753641;9,387028E-4;;
29/11/2021  17:31:09,754141;9,399128E-4;;
29/11/2021  17:31:09,754641;9,390574E-4;;
29/11/2021  17:31:09,755141;9,401035E-4;;
29/11/2021  17:31:09,755641;9,387773E-4;;
29/11/2021  17:31:09,756141;9,394389E-4;;
29/11/2021  17:31:09,756641;9,393405E-4;;
29/11/2021  17:31:09,757141;9,398770E-4;;
29/11/2021  17:31:09,757641;9,388756E-4;;
29/11/2021  17:31:09,758141;9,393167E-4;;
29/11/2021  17:31:09,758641;9,394329E-4;;
29/11/2021  17:31:09,759141;9,382468E-4;;
29/11/2021  17:31:09,759641;9,397667E-4;;
29/11/2021  17:31:09,760141;9,392750E-4;;
29/11/2021  17:31:09,760641;9,389591E-4;;
29/11/2021  17:31:09,761141;9,391975E-4;;
29/11/2021  17:31:09,761641;9,384763E-4;;
29/11/2021  17:31:09,762141;9,399128E-4;;
29/11/2021  17:31:09,762641;9,392243E-4;;
29/11/2021  17:31:09,763141;9,389442E-4;;
29/11/2021  17:31:09,763641;9,395164E-4;;
29/11/2021  17:31:09,764141;9,398383E-4;;
29/11/2021  17:31:09,764641;9,389859E-4;;
29/11/2021  17:31:09,765141;9,401303E-4;;
29/11/2021  17:31:09,765641;9,389829E-4;;
29/11/2021  17:31:09,766141;9,396892E-4;;
29/11/2021  17:31:09,766641;9,405356E-4;;
29/11/2021  17:31:09,767141;9,391438E-4;;
29/11/2021  17:31:09,767641;9,394985E-4;;
29/11/2021  17:31:09,768141;9,391736E-4;;
29/11/2021  17:31:09,768641;9,395551E-4;;
29/11/2021  17:31:09,769141;9,393525E-4;;
29/11/2021  17:31:09,769641;9,385418E-4;;
29/11/2021  17:31:09,770141;9,387057E-4;;
29/11/2021  17:31:09,770641;9,388011E-4;;
29/11/2021  17:31:09,771141;9,388011E-4;;
29/11/2021  17:31:09,771641;9,394091E-4;;
29/11/2021  17:31:09,772141;9,391140E-4;;
29/11/2021  17:31:09,772641;9,380411E-4;;
29/11/2021  17:31:09,773141;9,393107E-4;;
29/11/2021  17:31:09,773641;9,388369E-4;;
29/11/2021  17:31:09,774141;9,388846E-4;;
29/11/2021  17:31:09,774641;9,390157E-4;;
29/11/2021  17:31:09,775141;9,387147E-4;;
29/11/2021  17:31:09,775641;9,388369E-4;;
29/11/2021  17:31:09,776141;9,394598E-4;;
29/11/2021  17:31:09,776641;9,391170E-4;;
29/11/2021  17:31:09,777141;9,388488E-4;;
29/11/2021  17:31:09,777641;9,392422E-4;;
29/11/2021  17:31:09,778141;9,399128E-4;;
