waveform	Bridge	T_amb	T_cell
t0	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063
delta t	0,000500	0,000500	0,000500

time	Bridge	T_amb	T_cell
29/11/2021  14:02:54,408563	9,392869E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,409063	9,388577E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,409563	9,392511E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,410063	9,394478E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,410563	9,392541E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,411063	9,393227E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,411563	9,398233E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,412063	9,395968E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,412563	9,383541E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,413063	9,385955E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,413563	9,395551E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,414063	9,394925E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,414563	9,390664E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,415063	9,387177E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,415563	9,389740E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,416063	9,388667E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,416563	9,394240E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,417063	9,391677E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,417563	9,393584E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,418063	9,396773E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,418563	9,385955E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,419063	9,394001E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,419563	9,392005E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,420063	9,400707E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,420563	9,407443E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,421063	9,395641E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,421563	9,402734E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,422063	9,403300E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,422563	9,409112E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,423063	9,390664E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,423563	9,402615E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,424063	9,400409E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,424563	9,397339E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,425063	9,393018E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,425563	9,399664E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,426063	9,394776E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,426563	9,403807E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,427063	9,394240E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,427563	9,388577E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,428063	9,392154E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,428563	9,393078E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,429063	9,390604E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,429563	9,396565E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,430063	9,388607E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,430563	9,391111E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,431063	9,392273E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,431563	9,386938E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,432063	9,384971E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,432563	9,392571E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,433063	9,388697E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,433563	9,392869E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,434063	9,393107E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,434563	9,382587E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,435063	9,386700E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,435563	9,391558E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,436063	9,389799E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,436563	9,384494E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,437063	9,396088E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,437563	9,394150E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,438063	9,385567E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,438563	9,387028E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,439063	9,394836E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,439563	9,391438E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,440063	9,394299E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,440563	9,393852E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,441063	9,400677E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,441563	9,392780E-4	1,072884E-4	1,144409E-4
